Info;Product;ID;Date;Sucre;TAP;AT;pH;AMal;Tartaric;N_ass;N_Amin;N_NH3;K;IPT;Anth;D;Heure;GluconicAcid;Glycerol;Volatile Acidity;Botrytis;PG DK;PA;AF;AL;ApH1;ApH3.2;RPT;EA;MP
;Moûts;B007701;05/08/2024;164.1;9.8;6.75;3.32;3.51;8.38;12.61;166.6;94.2;2736.07;17.7;73.6;1.0796;08:51:06;0.4;0;0.1;4;4;-1;-1;0;174;232;19.83;-33.6;53.2
;Moûts;B009801;05/08/2024;156.1;9.3;5.91;3.27;2.94;8.08;-26.35;131.9;68;2485.39;16;53.91;1.0761;08:51:38;0.5;-0.1;0.08;2;6;-1;-1;0;50;168;18.35;-236.9;63.4
;Moûts;3127011;05/08/2024;139.8;8.3;6.45;3.26;3.47;7.6;75.19;154;118.1;2355.89;9;45.47;1.0661;10:14:48;0.6;-0.1;0.04;-1;11;-3;-4;0;-31;110;11.75;456.1;62.5
;Moûts;601711;05/08/2024;126.1;7.5;7.24;3.17;3.59;8.43;99.6;154;178.2;2346.21;10.1;50.44;1.0605;10:15:20;0.5;-0.1;0.05;-4;12;-4;-5;0;84;145;13.47;-72.4;57
;Moûts;201014;05/08/2024;135.6;8.1;5.88;3.25;3.25;7.16;-3.33;117.9;85.4;2380.93;11.5;44.85;1.065;10:15:52;0.5;-0.1;0.05;-1;10;-3;-4;0;45;174;13.06;-284.1;46.7
;Moûts;3007315;05/08/2024;153.1;9.1;6.13;3.35;3.56;7.17;14.05;149.7;82.6;2602.71;12.7;53.03;1.0735;10:16:25;0.5;-0.1;0.05;4;7;-2;-3;0;124;193;15.43;-55.2;50
;Moûts;601401;05/08/2024;146;8.7;6.09;3.32;3.26;7.69;54.27;158.6;116.8;2549.73;11.4;42.31;1.0703;10:16:57;0.6;-0.1;0.05;2;8;-2;-3;0;108;185;14.76;-71.4;49.9
;Moûts;601707;05/08/2024;159.4;9.5;5.7;3.28;2.93;7.43;100.2;186.6;139.2;2177.41;13.5;51.4;1.0743;10:17:29;0.5;0;0.05;3;7;-1;-4;0;-14;128;17.07;999.5;70.1
;Moûts;601407;05/08/2024;145.8;8.7;6.62;3.23;3.4;7.66;80.38;163.3;138.8;2317.34;10.4;38.18;1.0694;10:18:01;0.5;-0.1;0.05;1;8;-2;-4;0;17;136;14.31;-696.9;62
;Moûts;3100908;05/08/2024;145.6;8.7;6.02;3.19;3.07;7.32;46.86;133.8;119.5;2035.22;10.7;46.68;1.0687;10:18:35;0.5;-0.1;0.04;0;14;-2;-4;0;-26;108;13.05;509.4;66.9
;Moûts;601411;05/08/2024;144.7;8.6;6.83;3.17;3.51;7.66;75.87;149.3;143.6;2137.2;9.8;38.39;1.0685;10:19:07;0.4;-0.1;0.04;0;13;-2;-5;0;3;113;13.84;-3426.4;67.3
;Moûts;3121505;05/08/2024;168.6;10;5.86;3.23;2.96;7.41;12.07;137.2;85.6;2138.38;15.4;51.22;1.0791;10:19:40;0.5;0;0.06;4;7;-1;-3;0;66;164;19.7;-148.6;66.8
;Moûts;508102;05/08/2024;154.4;9.2;5.91;3.2;3.1;7.26;-72.71;76.4;21.7;2297.89;15.5;36.05;1.0721;11:03:58;0.5;-0.1;0.05;1;6;0;-4;0;-237;18;15.45;107.8;95.2
;Moûts;230415;05/08/2024;172;10.2;5.62;3.33;2.95;7.13;23.35;147.7;79.2;2366.86;15.3;48.21;1.0791;11:04:30;0.5;0;0.06;4;4;-1;-3;0;-88;93;16.87;205.8;78
;Moûts;230412;05/08/2024;170.6;10.1;4.99;3.43;2.78;6.68;83.11;196.2;94.6;2370.93;14.6;62.86;1.0789;11:05:02;0.5;0;0.05;5;4;-1;-1;0;-73;97;15.08;233.6;74.3
;Moûts;101705;05/08/2024;166.4;9.9;5.14;3.42;2.81;6.99;68.14;176.9;102;2417.58;14;57.66;1.0772;11:05:35;0.5;0;0.05;3;6;-1;-2;0;-106;113;15.79;206.5;71.5
;Moûts;101314;05/08/2024;172.7;10.3;5.42;3.35;2.87;7.11;108.2;207;125.2;2251.44;12;53.68;1.0794;11:06:07;0.5;0.1;0.04;4;6;-1;-2;0;-91;91;14.76;200.4;75.2
;Moûts;B008805;05/08/2024;175.7;10.4;5.08;3.32;2.7;7.05;-3.17;147.6;57.9;2293.6;13.7;52.11;1.0821;11:06:39;0.5;0;0.06;5;4;0;-2;0;-58;121;15.3;310;68.3
;Moûts;607508;05/08/2024;175.7;10.4;4.75;3.38;2.74;6.38;9.9;156.9;62.9;2288.34;11.2;40.94;1.0808;11:07:12;0.5;0;0.05;5;2;0;-2;0;-104;125;13.91;219.6;64.1
;Moûts;6046005;05/08/2024;150.8;9;4.85;3.29;2.58;6.83;51.77;154.7;117.9;2090.78;10.1;49.98;1.0707;11:07:45;0.5;-0.1;0.05;2;10;-1;-3;0;16;141;11.69;-805.6;51.8
;Moûts;3110812;05/08/2024;136.3;8.1;5.52;3.29;2.89;7.37;36.85;149.7;116.4;2299.32;10.7;39.5;1.0654;11:28:02;0.6;-0.1;0.07;0;12;-2;-3;0;-58;118;12.03;302.5;60.7
;Moûts;3224003;05/08/2024;163.2;9.7;5.95;3.29;3.19;7.21;53.45;146.4;110.8;2251.85;12.5;44.68;1.0761;11:28:35;0.6;0;0.06;2;11;-1;-3;0;-27;122;15.98;552.6;69.5
;Moûts;390110;05/08/2024;184.4;11;4.8;3.43;2.45;7.25;20.08;159.7;74.2;2421.63;18.6;59.38;1.0855;11:29:07;0.6;0.1;0.09;7;5;0;1;0;100;157;21.86;-58;71.2
;Moûts;230304;05/08/2024;182.6;10.9;4.87;3.47;2.62;7.11;35.22;172.3;69.4;2502.62;15.5;55.02;1.0846;11:29:39;0.7;0.1;0.08;7;5;0;0;0;67;163;18.95;-142.4;65.7
;Moûts;6516003;05/08/2024;157.5;9.4;6.16;3.32;3.53;6.94;32.78;153.1;91.5;2407.43;12.9;48.93;1.074;11:30:12;0.5;0;0.07;3;7;-2;-3;0;53;167;15.56;-215.3;57.1
;Moûts;3127022;05/08/2024;133.2;7.9;7.99;3.12;4.08;8.39;54.99;140.9;150.1;2392.2;12;61.59;1.0643;11:30:44;0.5;-0.2;0.08;-2;14;-3;-5;0;118;169;15.84;-42.9;57.2
;Moûts;3127002;05/08/2024;143.7;8.5;7.29;3.18;3.71;8.16;76.77;156.7;147.1;2323.02;11.9;59.31;1.0687;11:31:16;0.5;-0.1;0.08;-2;14;-3;-4;0;11;137;15.72;-1135.8;65.2
;Moûts;3124515;05/08/2024;151.6;9;6.79;3.28;3.61;7.77;100.53;195.4;139.5;2452.11;12.8;48.82;1.0722;11:31:50;0.5;-0.1;0.07;2;9;-2;-4;0;-26;134;15.51;613.8;65.3
;Moûts;3123610;05/08/2024;139;8.3;7.44;3.23;4.02;7.91;95.51;192.5;152.3;2494.41;12.4;59.67;1.067;11:32:22;0.5;-0.1;0.08;2;10;-3;-5;0;115;193;16.27;-68.2;52.5
;Moûts;3124502;05/08/2024;147.6;8.8;6.73;3.3;3.58;7.67;102.04;198.3;149.5;2462.4;11;49.74;1.0707;11:32:55;0.5;-0.1;0.07;2;10;-3;-4;0;-29;154;13.59;626.6;54.6
;Moûts;327810;05/08/2024;161.5;9.6;4.92;3.38;2.56;7.09;64.52;148.8;110.3;2240.42;9.8;41.01;1.0753;12:11:47;0.7;0;0.05;3;11;0;-2;0;-36;114;12.84;417.8;64.5
;Moûts;A01704;05/08/2024;154.7;9.2;5.21;3.29;2.68;7;57.04;136.9;115.1;2064.13;13.7;42.39;1.0717;12:12:19;0.5;0;0.05;2;10;0;-3;0;-143;45;15.05;131.7;88
;Moûts;327824;05/08/2024;126.9;7.5;6.63;3.1;3.22;7.85;43.41;109.6;143.9;1982.86;10.7;44.09;1.061;12:12:51;0.4;-0.1;0.03;-4;21;-3;-5;0;-78;88;13.44;213.2;73.7
;Moûts;327831;05/08/2024;138.1;8.2;5.99;3.1;2.88;7.47;-4.01;95.2;105.2;1894.45;11.1;31.97;1.0664;12:13:24;0.5;-0.2;0.06;-2;21;-1;-5;0;-79;86;13.57;208;74.8
;Moûts;685901;05/08/2024;119.2;7.1;8.18;3.01;4.31;7.45;-30.71;90.1;87.8;2093.05;13.6;76.88;1.058;12:13:56;0.4;-0.1;0.1;-4;14;-4;-6;0;-70;97;15.05;239.7;74.1
;Moûts;664009;05/08/2024;117.3;7;9.42;2.96;4.93;8.2;-53.38;80.4;67.8;2194.49;17.3;101.6;1.0573;12:14:28;0.4;-0.1;0.12;-3;11;-4;-6;0;-128;63;19.21;149.3;86.9
;Moûts;516107;05/08/2024;158.6;9.4;6.92;3.09;3.39;7.83;-50.47;86.8;53.7;2091.91;16.5;68.03;1.0746;12:15:01;0.5;-0.1;0.12;1;8;0;-5;0;-122;76;19.74;162.3;84.7
;Moûts;658910;05/08/2024;183.1;10.9;4.74;3.22;2.29;6.97;-71.99;78.7;19.1;1907.75;12.8;33.63;1.0843;12:15:34;0.6;-0.1;0.06;3;6;3;-2;0;-212;37;17.53;117.7;91.5
;Moûts;840703;05/08/2024;167.9;10;5.04;3.24;2.38;7.48;-17.26;108.5;52.2;2071.81;11.7;33.01;1.0784;12:16:06;0.7;-0.1;0.06;2;9;1;-2;0;-152;56;16.5;137.2;86.3
;Moûts;840713;05/08/2024;174.2;10.4;4.7;3.26;2.18;7.45;-28.72;108.3;45;2098.33;12.2;25.54;1.081;12:16:39;0.7;-0.1;0.07;3;10;1;-1;0;-87;92;17.43;205.9;79
;Moûts;3303028;05/08/2024;170.8;10.1;5.35;3.13;2.44;7.76;-84.66;56.4;4.2;1983.13;12.4;24.12;1.0791;12:32:10;0.7;-0.1;0.06;-1;9;3;-3;0;-366;-56;14.95;84.7;115
;Moûts;322727;05/08/2024;152.8;9.1;5.62;3.19;2.91;7.18;-14.61;94.5;60.1;2078.96;9.5;37.27;1.0715;12:32:42;0.7;-0.2;0.04;-1;12;0;-4;0;-117;53;12.57;145.6;83.1
;Moûts;322737;05/08/2024;150.9;9;5.52;3.26;3.01;7.03;37.9;131.9;91.1;2169.78;8.8;41.52;1.0698;12:33:14;0.6;-0.1;0.04;-2;10;-1;-3;0;-10;109;11.86;1244.9;63.3
;Moûts;719803;05/08/2024;160.5;9.5;5.69;3.32;2.88;7.64;113.57;175.6;134.9;2221.11;11.3;40.47;1.0741;12:33:47;0.6;0;0.04;-1;12;-1;-2;0;-40;103;16.46;361.2;74.9
;Moûts;3121502;05/08/2024;155.7;9.3;6.4;3.27;3.37;7.69;83.91;163.1;127.8;2295.49;10.2;30.98;1.0728;12:34:19;0.6;0;0.04;0;12;-2;-4;0;-121;87;15.06;171.7;76.9
;Moûts;3121405;05/08/2024;146.2;8.7;6.69;3.24;3.6;7.6;65.54;152.8;122.6;2348.86;9.9;27.75;1.0691;12:34:51;0.5;-0.1;0.04;-1;10;-2;-4;0;-86;98;14.33;214.2;72.6
;Moûts;6076016;05/08/2024;136.4;8.1;5.99;3.18;3.23;6.91;43.06;126.2;110.4;2026.68;9;35.31;1.0646;12:35:24;0.5;-0.1;0.02;-2;14;-2;-5;0;28;115;12.11;-310.4;62.1
;Moûts;6076007;05/08/2024;135;8;5.53;3.18;3.07;6.58;20.17;116.4;98.1;1972.38;8.1;31.75;1.0634;12:35:57;0.5;-0.1;0.04;-2;16;-2;-4;0;-57;95;9.52;266;59.9
;Moûts;2011002;05/08/2024;142.7;8.5;5.42;3.28;2.63;8.02;35.11;136.6;84.3;2343.51;10.2;32.16;1.0676;12:36:30;0.8;-0.1;0.05;-2;11;-2;-3;0;-145;70;13.62;148.2;79.4
;Moûts;838832;05/08/2024;148.8;8.8;5.69;3.29;2.74;8.21;60.09;152.9;105;2427.66;11.5;38.73;1.0711;12:37:02;0.7;-0.1;0.05;0;10;-2;-3;0;-73;106;14.17;244.4;70.1
;Moûts;312007;05/08/2024;87.4;5.2;13.19;2.75;5.94;12.03;-121.21;65.2;74.2;2846.53;42.4;243.54;1.0468;13:16:22;0.3;0.2;0.28;-11;9;-8;-7;0;-93;17;39.1;118.1;98.3
;Moûts;B006901;05/08/2024;119.8;7.1;10.27;2.96;4.99;9.72;-70.2;81.7;71.1;2642.55;26.2;130.59;1.0597;13:16:54;0.5;0;0.17;-5;17;-5;-6;0;-74;49;27.46;167;92.8
;Moûts;B006801;05/08/2024;144.6;8.6;7.7;3.08;3.86;8.38;-52.19;85.6;53.2;2374.19;14;36.66;1.0695;13:17:26;0.7;-0.1;0.1;-1;18;-2;-4;0;-105;45;18.59;143.1;90.3
;Moûts;111601;05/08/2024;138.7;8.2;6.48;3.08;3.33;7.45;-39.68;76.3;66;2034.65;9.2;25.9;1.0665;13:17:58;0.5;-0.2;0.05;-2;17;-1;-5;0;32;114;13.17;-257;65.3
;Moûts;335807;05/08/2024;166.2;9.9;5.53;3.18;2.87;7.03;-12.73;110.4;68.4;1945.31;12;29.62;1.0777;13:18:31;0.5;-0.1;0.06;2;14;0;-3;0;-3;99;16.04;3299.2;75.4
;Moûts;331827;05/08/2024;173.2;10.3;4.96;3.24;2.68;6.7;-6.55;117.5;66;1917.1;10.6;51.34;1.0802;13:19:03;0.5;0;0.04;3;15;1;-3;0;-6;104;14.02;1887.5;70.2
;Moûts;331806;05/08/2024;178.9;10.6;4.9;3.33;2.69;6.78;11.11;145.4;64.4;2125.83;11.8;60.18;1.0826;13:19:36;0.6;0.1;0.06;4;13;0;-2;0;-96;94;15.48;198.7;75.6
;Moûts;3318018;05/08/2024;173.8;10.3;4.43;3.26;2.34;6.53;-11.87;110.8;50.2;1898.31;11.2;55.75;1.0803;13:20:09;0.6;0;0.05;1;7;2;-2;0;-53;112;14.92;313.8;69.9
;Moûts;331701;05/08/2024;159.5;9.5;5.13;3.16;2.67;6.73;-3.5;112.9;80.8;1799.55;10.4;39.83;1.0751;13:20:42;0.4;-0.1;0.05;0;17;0;-4;0;-216;53;13.14;124.7;83.8
;Moûts;820808;05/08/2024;177;10.5;4.61;3.23;2.51;6.38;-54.58;97.9;31.8;1901.5;10.9;34.58;1.0823;13:21:14;0.5;-0.1;0.05;5;13;1;-3;0;16;144;14.48;-794.7;60.2
;Moûts;328008;05/08/2024;172.1;10.2;4.49;3.28;2.44;6.58;-33.79;95.6;30.9;1940.77;10.6;23.43;1.0802;13:37:21;0.5;-0.1;0.05;2;11;3;-2;0;-223;45;12.39;120.2;85.5
;Moûts;3280013;05/08/2024;174.7;10.4;5.32;3.27;2.87;7.01;-0.3;116.5;60.7;2042.41;9.4;26.26;1.0817;13:37:53;0.5;-0.1;0.04;2;10;1;-2;0;-167;75;12.67;144.6;76.4
;Moûts;608606;05/08/2024;150.8;9;6.36;3.17;3.29;7.7;1.26;99.5;75;2176.26;8.3;21.76;1.072;13:38:25;0.6;-0.2;0.04;-2;17;-1;-4;0;-68;99;12.85;246.1;69.3
;Moûts;302605;05/08/2024;163.4;9.7;6.1;3.19;2.93;8.15;21.77;115.2;86.3;2143.21;9.4;21.58;1.0766;13:38:57;0.6;-0.1;0.06;-3;13;0;-3;0;-242;57;14.45;123.8;84.1
;Moûts;302807;05/08/2024;170.8;10.1;5.32;3.23;2.44;8.08;-17.01;105;47.9;2166.18;10.8;24.42;1.0811;13:39:30;0.7;-0.1;0.06;0;11;1;-2;0;-209;43;15.53;120.4;89
;Moûts;302824;05/08/2024;157.7;9.4;5.71;3.21;2.57;8.48;1.84;107.6;73.1;2223.46;11.5;36.29;1.075;13:40:02;0.7;-0.2;0.06;-3;12;0;-3;0;-218;59;15.86;127.1;85.1
;Moûts;604202;05/08/2024;167.3;9.9;5.35;3.32;2.75;7.54;85.49;186.1;99.1;2209.62;12.1;42.78;1.0778;13:40:35;0.6;0;0.06;2;9;-1;-3;0;-132;85;14.98;164.5;77.2
;Moûts;6051030;05/08/2024;172.3;10.2;6.26;3.19;2.87;8.69;-25.7;119.6;37.8;2281.32;13.8;37.22;1.0813;13:41:08;0.7;-0.1;0.08;1;9;0;-2;0;-296;34;17.51;111.5;92.2
;Moûts;3006520;05/08/2024;185.6;11;5.6;3.2;2.78;7.31;6.36;133.2;56.9;1898.72;14.9;41.35;1.0863;13:41:40;0.4;0.1;0.06;3;10;0;-3;0;-267;34;18.96;112.6;92.9
;Moûts;B008802;05/08/2024;179.3;10.7;5.48;3.21;2.74;7.31;-14.09;116.3;56.1;1923.34;10.8;24.64;1.0841;13:42:13;0.5;-0.1;0.06;4;17;1;-2;0;-230;44;14.19;119.2;87.6
;Moûts;B0118001;05/08/2024;157;9.3;5.55;3.22;2.62;8.03;-0.97;93.6;68.8;2139.85;10.5;27.66;1.0743;14:02:07;0.7;-0.2;0.04;-3;14;1;-2;0;-331;-6;14.65;98.1;101.8
;Moûts;802419;05/08/2024;170.4;10.1;4.77;3.3;2.44;7.17;-12.21;99.4;52.2;2072.52;9.3;26.36;1.0794;14:02:39;0.7;-0.1;0.04;1;12;2;-1;0;-134;70;12.83;152.2;78.2
;Moûts;B011809;05/08/2024;149.3;8.9;6.31;3.07;2.99;7.98;13.72;83;95.8;1839.34;7;20.68;1.0708;14:03:11;0.6;-0.2;0.02;-6;21;0;-4;0;-310;5;12.08;101.7;98.3
;Moûts;802604;05/08/2024;154.5;9.2;7.02;3.09;3.57;7.79;-19.15;94.2;61.6;2015.46;7.7;23.2;1.0734;14:03:44;0.5;-0.2;0.06;-2;11;-1;-4;0;7;133;13.37;-1700.8;60.1
;Moûts;3043024;05/08/2024;161.3;9.6;5.55;3.23;2.88;7.23;21.37;133.1;73.8;2071.37;9.8;25.56;1.0757;14:04:16;0.6;-0.1;0.05;0;15;0;-3;0;-138;74;13.08;153.6;77.4
;Moûts;3043010;05/08/2024;149.6;8.9;6.37;3.21;3.4;7.41;69.66;145.7;125.6;2078.59;8.1;45.04;1.0701;14:04:48;0.5;-0.1;0.05;-2;15;-2;-4;0;-57;129;13.13;327;60.6
;Moûts;3110814;05/08/2024;148.6;8.8;6.51;3.2;3.42;7.68;61.72;141.2;122.9;2093.38;7.1;29.5;1.0704;14:05:21;0.5;-0.1;0.04;0;16;-2;-4;0;-94;105;11.95;212;64.8
;Moûts;3110808;05/08/2024;162.8;9.7;5.64;3.24;2.98;7.16;46.03;137.6;101;2030.56;8.4;29.84;1.0759;14:05:54;0.5;-0.1;0.04;-1;12;-1;-3;0;-133;104;13.06;178.5;68
;Moûts;3043026;05/08/2024;174.1;10.3;4.88;3.42;2.58;7.18;106.8;193.4;110.8;2207.08;10.4;41.52;1.0802;14:06:26;0.5;0;0.03;2;8;0;-1;0;-261;43;14.15;116.3;88
;Moûts;3043002;05/08/2024;171.5;10.2;4.69;3.41;2.55;6.99;76.48;168.7;95.6;2192.01;9.3;39.84;1.079;14:06:59;0.6;0;0.03;3;9;0;-1;0;-59;136;14;329.1;61.2
;Moûts;802608;05/08/2024;129.4;7.7;4.43;3.15;2.65;5.49;-53.96;73.2;35.6;1706.53;8.5;6.84;1.0609;14:31:12;0.4;-0.1;0.03;-3;9;2;-4;0;-136;48;7.87;135.3;75.6
;Moûts;802403;05/08/2024;157.2;9.3;5.44;3.18;2.91;6.91;-45.01;82.4;32.8;1994.13;8.8;21.34;1.0736;14:31:44;0.6;-0.1;0.04;-1;13;1;-3;0;-152;48;12.18;131.7;84.1
;Moûts;3113902;05/08/2024;152.8;9.1;5.54;3.29;2.9;7.53;35.89;133;74.5;2322.01;9.8;24.75;1.0716;14:32:17;0.7;-0.1;0.03;-1;10;-1;-3;0;-130;52;13.15;140.4;84.1
;Moûts;3104503;05/08/2024;169.7;10.1;5.28;3.42;2.9;7.09;125.41;210.1;117.4;2401.79;12.1;33.74;1.0784;14:32:49;0.6;0.1;0.02;3;7;-1;-2;0;-90;86;15.85;196.1;78.3
;Moûts;3104502;05/08/2024;163.6;9.7;5.33;3.34;2.97;6.94;77.36;170.6;107.9;2213.73;9.8;33.19;1.0752;14:33:21;0.5;0;0.03;1;8;-1;-3;0;-173;70;14.04;140.5;80
;Moûts;519736;05/08/2024;151.6;9;5.85;3.24;3.13;7.35;-1.3;115.1;62.7;2255.79;10.3;27.99;1.0711;14:33:54;0.6;-0.1;0.05;0;12;-1;-3;0;-91;82;14.81;190.7;77.7
;Moûts;519702;05/08/2024;144;8.6;6.46;3.13;3.36;7.5;-6.66;101.3;65.1;2070.04;9;31.86;1.0682;14:34:26;0.6;-0.2;0.05;-3;9;-1;-4;0;-48;95;14.29;297.2;73.3
;Moûts;3336036;05/08/2024;172.1;10.2;5.46;3.22;2.87;7.02;-1.74;118.8;56.7;1964.67;10.8;31.25;1.0798;14:35:00;0.5;0;0.04;1;8;0;-3;0;-63;95;15.72;251.3;75.7
;Moûts;653201;05/08/2024;178;10.6;4.97;3.26;2.46;7.26;0.57;119.9;51.8;1962.24;10.7;30.48;1.0825;14:35:32;0.5;0;0.04;3;4;1;-2;0;-127;64;16.28;150.2;84.4
;Moûts;3109723;05/08/2024;160.5;9.5;5.08;3.21;2.63;7.08;21.31;127.9;66.7;1942.34;9.9;36.83;1.0747;14:36:05;0.5;-0.1;0.02;0;7;0;-3;0;-95;74;14.42;178.4;79.3
;Moûts;A00620;05/08/2024;155.8;9.3;5.44;3.23;2.81;7.13;59.61;128.8;93.3;1978.25;9.3;24.01;1.0723;14:50:37;0.5;-0.1;0.01;-3;12;0;-3;0;-202;48;13.46;123.5;85.9
;Moûts;395406;05/08/2024;174.3;10.4;5.26;3.19;2.57;7.3;18.35;115.7;73.2;1837.01;11.4;35.78;1.0798;14:51:09;0.5;0;0.03;0;10;1;-3;0;-150;51;16.66;134.2;87.7
;Moûts;31961;05/08/2024;176.5;10.5;5.34;3.17;2.52;7.62;-35.53;90.4;30.4;1902.31;12.1;35.89;1.0809;14:51:41;0.6;0;0.04;0;1;2;-3;0;-214;24;17.35;111.4;94.4
;Moûts;3006418;05/08/2024;155.5;9.2;6.04;3.05;2.8;7.86;-16.23;83.4;63.7;1781.26;10;29.55;1.0733;14:52:14;0.5;-0.2;0.04;-4;17;0;-4;0;-399;-30;14.57;92.4;108.3
;Moûts;3006412;05/08/2024;161.3;9.6;6;3.09;2.99;7.34;10.43;103.2;78.3;1729.79;8.7;27.65;1.0744;14:52:46;0.4;-0.1;0.03;-3;10;0;-5;0;-253;21;13.75;108.2;93.9
;Moûts;111605;05/08/2024;152.7;9.1;6.54;3.15;3.47;7.35;45.41;133.4;102.1;1987.13;9.5;36.42;1.0708;14:53:18;0.4;0;0.04;-2;14;-1;-5;0;-125;79;14.78;163.2;78.6
;Moûts;602610;05/08/2024;150.1;8.9;5.74;3.1;2.9;7.15;-11.92;93.8;61.8;1831.73;11.2;22.98;1.0698;14:53:50;0.4;-0.1;0.04;-4;8;0;-5;0;-196;28;15.93;114.4;92.9
;Moûts;803308;05/08/2024;140.9;8.4;7.92;3.08;4.34;7.57;43.95;126.6;106.5;2061.57;11.1;51.93;1.0658;14:54:24;0.4;-0.1;0.02;-3;19;-2;-6;0;-62;116;16.49;287.4;71.8
;Moûts;843401;05/08/2024;158.1;9.4;6.46;3.12;3.34;7.61;22.6;115;88.5;1925.01;9.2;19.49;1.0732;14:54:56;0.4;0;0.03;-2;18;-1;-4;0;-172;56;15.21;132.2;85.4
;Moûts;605707;05/08/2024;126.4;7.5;7.93;2.93;3.93;8.33;-39.57;66.9;63.3;1928.68;8.2;23.63;1.0616;14:55:28;0.5;-0.2;0.05;-8;25;-2;-6;0;-267;30;14.04;111.2;91.5
;Moûts;2010003;05/08/2024;142.1;8.4;3.85;3.24;2.18;5.38;2.23;109.4;31.4;1736.06;14.4;23.33;1.0657;15:41:53;0.6;0.1;0.04;0;4;3;-2;0;-347;-62;13.46;82;118.6
;Moûts;3318014;05/08/2024;190.2;11.3;4.06;3.38;1.99;6.17;77.2;150.6;59.6;1887.81;20.4;30.03;1.0843;15:42:25;0.6;0.4;0.03;4;1;5;1;0;-470;-163;23.71;65.2;127.6
;Moûts;404312;05/08/2024;187.4;11.1;4.16;3.38;2.2;5.82;130.49;189.9;71.2;1915.97;21.6;47.78;1.0824;15:42:58;0.6;0.5;0.03;4;0;3;0;0;-581;-192;24.82;67;130.9
;Moûts;2010002;05/08/2024;194.1;11.5;4.49;3.38;2.4;5.47;87.45;231.6;143;2345.5;25;118.15;1.0806;15:43:30;0.8;0.7;0.08;20;0;-5;-3;1;-228;-47;26.48;79.2;107.2
;Moûts;327821;05/08/2024;177.9;10.6;5.54;3.16;2.43;7.61;22.82;124.1;37.6;1845.95;13.3;-17.14;1.082;15:44:02;0.5;0;0.07;3;2;2;0;0;-201;-29;19.69;85.4;106
;Moûts;311401;05/08/2024;182.3;10.8;6.11;3.09;2.55;8.37;23.69;124.6;46.6;1861.95;11.3;-45.5;1.085;15:44:35;0.4;-0.1;0.07;2;4;1;2;0;-105;22;20.03;120.9;95.6
;Moûts;651006;05/08/2024;169.8;10.1;6.18;3.14;2.71;8.4;24.83;115;67;2035.93;15.1;9.72;1.078;15:45:07;0.5;-0.1;0.08;-1;8;1;0;0;-20;72;19;463.9;84.9
;Moûts;110804;05/08/2024;132.1;7.8;7.57;2.9;3.2;9.84;-52.24;50.7;56.7;2119.43;11.2;26.94;1.0645;15:45:41;0.7;-0.3;0.04;-11;17;-2;-5;0;-462;-65;18.49;85.9;114.1
Re-prédiction;Moûts;651014;05/08/2024;142;8.4;6.49;3.09;3.16;8.34;-37.89;75.6;46.2;2144.49;9.3;25.87;1.0674;15:46:57;0.7;-0.2;0.05;-6;18;-1;-5;0;-239;58;14.11;124;83.7
Re-prédiction;Moûts;651401;05/08/2024;132.2;7.9;8.4;3.04;4.54;8.03;-12.42;104.1;66.4;2239.47;13.5;65.21;1.0635;15:46:57;0.4;-0.1;0.05;-3;15;-2;-6;0;-151;114;15.51;175.2;70.7
Re-prédiction;Moûts;651007;05/08/2024;152.4;9.1;6.42;3.14;3.43;7.43;-1.63;118.9;66.1;2026.44;11.3;59.88;1.0709;15:46:57;0.4;0;0.04;-1;15;-1;-5;0;-366;31;13.44;108.4;90.9
Re-prédiction;Moûts;651010;05/08/2024;170.9;10.2;4.97;3.24;2.61;7.12;-33.53;108;32.9;1973.79;10.5;52.25;1.079;15:46:57;0.5;0;0.04;1;13;1;-3;1;-183;89;13.36;148.3;73.5
Re-prédiction;Moûts;651012;05/08/2024;157;9.3;6.85;3.07;3.72;7.15;-47.67;83.4;30.9;1852.25;10.3;33.82;1.0728;15:46:57;0.4;-0.1;0.02;0;15;0;-6;0;-314;44;13.09;113.8;86.7
Re-prédiction;Moûts;810804;05/08/2024;142.8;8.5;7.55;3.02;3.9;7.96;-21.6;77;62.7;1949.52;9.5;34.28;1.0676;15:46:57;0.5;-0.1;0.04;-4;30;-1;-6;0;-330;23;13.93;107;93.3
Re-prédiction;Moûts;404003;05/08/2024;169;10;5.79;3.21;3.14;7.19;21.98;128.6;72.6;2021.4;13.5;55.09;1.0764;15:46:57;0.4;0.1;0.03;0;16;0;-4;1;-308;30;17.42;109.9;93
Re-prédiction;Moûts;404316;05/08/2024;170.4;10.1;4.74;3.31;2.63;6.62;44.49;143.3;76.9;1958.73;12.8;51.12;1.077;15:46:57;0.5;0.1;0.01;-1;13;1;-3;1;-378;21;15.33;105.6;94.5
Re-prédiction;Moûts;404002;05/08/2024;174.9;10.4;5.19;3.26;2.88;6.87;27.85;128.4;69.8;1962.42;13;56.52;1.0779;15:46:57;0.5;0.2;0.01;-1;7;1;-4;1;-291;35;17.13;112.2;91.7
Re-prédiction;Moûts;404308;05/08/2024;167;9.9;5.37;3.24;2.91;7.03;38.98;128.3;85;1968.78;10.4;34.24;1.0751;15:46:58;0.5;0.1;0.03;-1;12;1;-4;1;-323;24;14.4;107.3;93.4
